Date,Time,S1,S2,S3,S4,Activity
19-07-2017, 12:7:53 ,250,47,168,61,1
19-07-2017, 12:7:53 ,250,48,250,60,1
19-07-2017, 12:7:53 ,222,47,163,60,1
19-07-2017, 12:7:53 ,250,47,250,61,1
19-07-2017, 12:7:53 ,220,47,168,60,1
19-07-2017, 12:7:53 ,250,47,250,61,1
19-07-2017, 12:7:53 ,185,47,170,61,1
19-07-2017, 12:7:54 ,250,47,85,60,1
19-07-2017, 12:7:54 ,220,47,250,61,1
19-07-2017, 12:7:54 ,250,47,250,61,1
19-07-2017, 12:7:54 ,160,47,250,61,1
19-07-2017, 12:7:54 ,190,46,250,61,1
19-07-2017, 12:7:54 ,189,46,250,61,1
19-07-2017, 12:7:54 ,190,49,250,61,1
19-07-2017, 12:7:54 ,188,48,250,61,1
19-07-2017, 12:7:54 ,188,48,250,60,1
19-07-2017, 12:7:55 ,221,48,250,61,1
19-07-2017, 12:7:55 ,250,49,210,61,1
19-07-2017, 12:7:55 ,250,48,250,61,1
19-07-2017, 12:7:55 ,250,47,250,61,1
19-07-2017, 12:7:55 ,177,47,250,61,1
19-07-2017, 12:7:55 ,172,46,250,61,1
19-07-2017, 12:7:55 ,90,48,222,60,1
19-07-2017, 12:7:55 ,172,194,223,61,1
19-07-2017, 12:7:56 ,183,52,163,60,1
19-07-2017, 12:7:56 ,250,145,199,61,1
19-07-2017, 12:7:56 ,250,197,250,60,1
19-07-2017, 12:7:56 ,250,47,250,61,1
19-07-2017, 12:7:56 ,173,48,166,61,1
19-07-2017, 12:7:56 ,250,47,250,61,1
19-07-2017, 12:7:56 ,220,47,165,60,1
19-07-2017, 12:7:56 ,250,47,250,61,1
19-07-2017, 12:7:57 ,181,47,167,61,1
19-07-2017, 12:7:57 ,250,47,250,61,1
19-07-2017, 12:7:57 ,220,47,163,61,1
19-07-2017, 12:7:57 ,250,47,250,61,1
19-07-2017, 12:7:57 ,220,47,163,61,1
19-07-2017, 12:7:57 ,250,48,250,61,1
19-07-2017, 12:7:57 ,220,47,163,61,1
19-07-2017, 12:7:57 ,250,51,250,61,1
19-07-2017, 12:7:57 ,221,51,159,61,1
19-07-2017, 12:7:58 ,250,49,250,61,1
19-07-2017, 12:7:58 ,221,46,163,61,1
19-07-2017, 12:7:58 ,250,50,250,61,1
19-07-2017, 12:7:58 ,171,46,170,61,1
19-07-2017, 12:7:58 ,250,47,250,61,1
19-07-2017, 12:7:58 ,220,48,167,61,1
19-07-2017, 12:7:58 ,250,48,250,61,1
19-07-2017, 12:7:58 ,200,51,165,61,1
19-07-2017, 12:7:59 ,250,137,250,61,1
19-07-2017, 12:7:59 ,172,197,250,61,1
19-07-2017, 12:7:59 ,250,195,250,60,1
19-07-2017, 12:7:59 ,250,194,250,60,1
19-07-2017, 12:7:59 ,250,195,211,60,1
19-07-2017, 12:7:59 ,250,194,250,61,1
19-07-2017, 12:7:59 ,250,194,250,61,1
19-07-2017, 12:7:59 ,250,196,250,60,1
19-07-2017, 12:8:0 ,250,196,250,61,1
19-07-2017, 12:8:0 ,250,196,250,61,1
19-07-2017, 12:8:0 ,220,197,250,60,1
19-07-2017, 12:8:0 ,250,194,250,61,1
19-07-2017, 12:8:0 ,250,196,222,60,1
19-07-2017, 12:8:0 ,220,195,219,61,1
19-07-2017, 12:8:0 ,220,196,250,61,1
19-07-2017, 12:8:0 ,250,50,250,61,1
19-07-2017, 12:8:1 ,220,49,250,61,1
19-07-2017, 12:8:1 ,220,197,250,61,1
19-07-2017, 12:8:1 ,250,194,250,61,1
19-07-2017, 12:8:1 ,250,111,250,61,1
19-07-2017, 12:8:1 ,220,197,250,60,1
19-07-2017, 12:8:1 ,250,194,250,61,1
19-07-2017, 12:8:1 ,250,116,250,61,1
19-07-2017, 12:8:1 ,220,195,250,61,1
19-07-2017, 12:8:2 ,250,195,250,60,1
19-07-2017, 12:8:2 ,250,114,250,61,1
19-07-2017, 12:8:2 ,220,197,250,60,1
19-07-2017, 12:8:2 ,250,196,250,60,1
19-07-2017, 12:8:2 ,250,196,250,61,1
19-07-2017, 12:8:2 ,250,158,250,61,1
19-07-2017, 12:8:2 ,221,194,250,61,1
19-07-2017, 12:8:2 ,250,195,250,61,1
19-07-2017, 12:8:2 ,250,113,250,61,1
19-07-2017, 12:8:3 ,220,195,250,61,1
19-07-2017, 12:8:3 ,250,196,250,61,1
19-07-2017, 12:8:3 ,250,116,250,61,1
19-07-2017, 12:8:3 ,220,196,250,61,1
19-07-2017, 12:8:3 ,250,196,250,61,1
19-07-2017, 12:8:3 ,250,49,250,61,1
19-07-2017, 12:8:3 ,220,48,161,61,1
19-07-2017, 12:8:3 ,250,49,250,60,1
19-07-2017, 12:8:4 ,173,50,207,61,1
19-07-2017, 12:8:4 ,250,195,250,61,1
19-07-2017, 12:8:4 ,250,155,250,60,1
19-07-2017, 12:8:4 ,222,50,250,61,1
19-07-2017, 12:8:4 ,250,194,213,60,1
19-07-2017, 12:8:4 ,250,196,250,61,1
19-07-2017, 12:8:4 ,250,87,250,60,1
19-07-2017, 12:8:4 ,221,196,250,61,1
19-07-2017, 12:8:5 ,250,196,250,61,1
19-07-2017, 12:8:5 ,250,195,250,61,1
19-07-2017, 12:8:5 ,250,196,250,61,1
19-07-2017, 12:8:5 ,250,195,216,61,1
19-07-2017, 12:8:5 ,250,195,250,61,1
19-07-2017, 12:8:5 ,250,85,250,61,1
19-07-2017, 12:8:5 ,220,195,250,61,1
19-07-2017, 12:8:5 ,250,197,250,61,1
19-07-2017, 12:8:5 ,250,196,250,61,1
19-07-2017, 12:8:6 ,250,196,250,61,1
19-07-2017, 12:8:6 ,250,195,211,61,1
19-07-2017, 12:8:6 ,250,197,250,61,1
19-07-2017, 12:8:6 ,250,49,250,60,1
19-07-2017, 12:8:6 ,159,48,250,61,1
19-07-2017, 12:8:6 ,164,49,166,60,1
19-07-2017, 12:8:6 ,250,49,250,60,1
19-07-2017, 12:8:6 ,182,50,101,61,1
19-07-2017, 12:8:7 ,127,50,165,61,1
19-07-2017, 12:8:7 ,250,49,250,60,1
19-07-2017, 12:8:7 ,220,49,160,60,1
19-07-2017, 12:8:7 ,250,194,250,61,1
19-07-2017, 12:8:7 ,250,196,250,61,1
19-07-2017, 12:8:7 ,250,48,250,61,1
19-07-2017, 12:8:7 ,250,196,250,61,1
19-07-2017, 12:8:7 ,250,194,250,61,1
19-07-2017, 12:8:7 ,250,194,250,61,1
19-07-2017, 12:8:8 ,250,196,250,61,1
19-07-2017, 12:8:8 ,221,48,250,61,1
19-07-2017, 12:8:8 ,220,48,250,61,1
19-07-2017, 12:8:8 ,250,50,250,60,1
19-07-2017, 12:8:8 ,155,48,250,61,1
19-07-2017, 12:8:8 ,171,48,250,61,1
19-07-2017, 12:8:8 ,220,49,250,60,1
19-07-2017, 12:8:8 ,170,47,250,61,1
19-07-2017, 12:8:9 ,189,47,250,61,1
19-07-2017, 12:8:9 ,171,47,250,60,1
19-07-2017, 12:8:9 ,94,47,160,61,1
19-07-2017, 12:8:9 ,250,48,250,61,1
19-07-2017, 12:8:9 ,220,47,250,61,1
19-07-2017, 12:8:9 ,250,47,250,61,1
19-07-2017, 12:8:9 ,154,48,250,61,1
19-07-2017, 12:8:9 ,189,194,250,60,1
19-07-2017, 12:8:9 ,171,117,250,60,1
19-07-2017, 12:8:10 ,220,195,250,60,1
19-07-2017, 12:8:10 ,250,196,250,60,1
19-07-2017, 12:8:10 ,250,196,250,61,1
19-07-2017, 12:8:10 ,250,51,93,61,1
19-07-2017, 12:8:10 ,221,49,250,61,1
19-07-2017, 12:8:10 ,250,50,250,61,1
19-07-2017, 12:8:10 ,158,48,250,61,1
19-07-2017, 12:8:10 ,188,47,250,61,1
19-07-2017, 12:8:11 ,182,49,250,61,1
19-07-2017, 12:8:11 ,183,196,250,60,1
19-07-2017, 12:8:11 ,220,196,250,60,1
19-07-2017, 12:8:11 ,250,195,250,60,1
19-07-2017, 12:8:11 ,250,196,250,61,1
19-07-2017, 12:8:11 ,250,196,250,60,1
19-07-2017, 12:8:11 ,221,194,250,60,1
19-07-2017, 12:8:11 ,250,194,250,60,1
19-07-2017, 12:8:12 ,250,194,250,61,1
19-07-2017, 12:8:12 ,250,188,250,61,1
19-07-2017, 12:8:12 ,221,196,250,61,1
19-07-2017, 12:8:12 ,250,196,250,61,1
19-07-2017, 12:8:12 ,250,48,250,61,1
19-07-2017, 12:8:12 ,220,50,169,60,1
19-07-2017, 12:8:12 ,250,47,250,61,1
19-07-2017, 12:8:12 ,220,196,250,61,1
19-07-2017, 12:8:13 ,250,49,250,61,1
19-07-2017, 12:8:13 ,220,47,250,61,1
19-07-2017, 12:8:13 ,150,46,169,61,1
19-07-2017, 12:8:13 ,250,194,250,61,1
19-07-2017, 12:8:13 ,250,40,250,61,1
19-07-2017, 12:8:13 ,145,41,250,61,1
19-07-2017, 12:8:13 ,187,44,250,61,1
19-07-2017, 12:8:13 ,77,44,87,61,1
19-07-2017, 12:8:13 ,250,44,250,61,1
19-07-2017, 12:8:14 ,221,44,164,61,1
19-07-2017, 12:8:14 ,250,45,250,60,1
19-07-2017, 12:8:14 ,220,44,166,60,1
19-07-2017, 12:8:14 ,250,44,250,60,1
19-07-2017, 12:8:14 ,220,43,167,60,1
19-07-2017, 12:8:14 ,250,44,250,61,1
19-07-2017, 12:8:14 ,189,43,222,61,1
19-07-2017, 12:8:14 ,250,43,250,61,1
19-07-2017, 12:8:15 ,221,43,175,61,1
19-07-2017, 12:8:15 ,250,43,250,60,1
19-07-2017, 12:8:15 ,220,43,174,61,1
19-07-2017, 12:8:15 ,250,43,250,60,1
19-07-2017, 12:8:15 ,220,43,175,61,1
19-07-2017, 12:8:15 ,250,43,250,60,1
19-07-2017, 12:8:15 ,220,43,175,61,1
19-07-2017, 12:8:15 ,250,43,250,61,1
19-07-2017, 12:8:15 ,220,43,250,60,1
19-07-2017, 12:8:16 ,220,43,250,61,1
19-07-2017, 12:8:16 ,250,43,250,61,1
19-07-2017, 12:8:16 ,175,43,250,61,1
19-07-2017, 12:8:16 ,193,42,250,61,1
19-07-2017, 12:8:16 ,78,43,86,61,1
19-07-2017, 12:8:16 ,250,43,250,61,1
19-07-2017, 12:8:16 ,197,43,191,61,1
19-07-2017, 12:8:16 ,250,43,250,61,1
19-07-2017, 12:8:17 ,195,43,174,61,1
19-07-2017, 12:8:17 ,250,43,250,61,1
19-07-2017, 12:8:17 ,220,43,167,61,1
19-07-2017, 12:8:17 ,250,43,250,61,1
19-07-2017, 12:8:17 ,220,43,167,61,1
19-07-2017, 12:8:17 ,250,43,250,61,1
19-07-2017, 12:8:17 ,219,43,170,61,1
19-07-2017, 12:8:17 ,250,43,250,60,1
19-07-2017, 12:8:17 ,209,43,178,61,1
19-07-2017, 12:8:18 ,250,43,250,61,1
19-07-2017, 12:8:18 ,220,43,167,61,1
19-07-2017, 12:8:18 ,250,43,250,61,1
19-07-2017, 12:8:18 ,171,42,250,61,1
19-07-2017, 12:8:18 ,220,42,168,61,1
19-07-2017, 12:8:18 ,250,43,250,61,1
19-07-2017, 12:8:18 ,167,43,250,60,1
19-07-2017, 12:8:18 ,250,42,250,61,1
19-07-2017, 12:8:19 ,250,43,250,61,1
19-07-2017, 12:8:19 ,167,43,250,61,1
19-07-2017, 12:8:19 ,250,43,172,61,1
19-07-2017, 12:8:19 ,250,43,250,61,1
